EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
2,37,1.0,Travel_Rarely,1141,Research & Development,11,Perguruan tinggi,Medical,1,Rendah,Female,61,Rendah,2,Healthcare Representative,Sedang,Married,4777,14382,5,Y,No,15,Sangat Baik,Rendah,80,0,15,2,Rendah,1,0,0,0
3,51,1.0,Travel_Rarely,1323,Research & Development,4,Magister,Life Sciences,1,Rendah,Male,34,Tinggi,1,Research Scientist,Tinggi,Married,2461,10332,9,Y,Yes,12,Sangat Baik,Tinggi,80,3,18,2,Sangat Tinggi,10,0,2,7
4,42,0.0,Travel_Frequently,555,Sales,26,Sarjana,Marketing,1,Tinggi,Female,77,Tinggi,4,Sales Executive,Sedang,Married,13525,14864,5,Y,No,14,Sangat Baik,Sangat Tinggi,80,1,23,2,Sangat Tinggi,20,4,4,8
7,40,0.0,Travel_Rarely,1124,Sales,1,Perguruan tinggi,Medical,1,Sedang,Male,57,Rendah,2,Sales Executive,Sangat Tinggi,Married,7457,13273,2,Y,Yes,22,Luar Biasa,Tinggi,80,3,6,2,Sedang,4,3,0,2
8,55,1.0,Travel_Rarely,725,Research & Development,2,Sarjana,Medical,1,Sangat Tinggi,Male,78,Tinggi,5,Manager,Rendah,Married,19859,21199,5,Y,Yes,13,Sangat Baik,Sangat Tinggi,80,1,24,2,Tinggi,5,2,1,4
9,36,0.0,Travel_Frequently,635,Research & Development,18,Di bawah perguruan tinggi,Medical,1,Sedang,Female,73,Tinggi,1,Laboratory Technician,Sangat Tinggi,Single,2153,7703,1,Y,No,13,Sangat Baik,Rendah,80,0,8,2,Tinggi,8,1,1,7
10,32,0.0,Travel_Rarely,1018,Research & Development,3,Perguruan tinggi,Life Sciences,1,Tinggi,Female,39,Tinggi,3,Research Director,Sangat Tinggi,Single,11159,19373,3,Y,No,15,Sangat Baik,Sangat Tinggi,80,0,10,6,Tinggi,7,7,7,7
11,25,0.0,Travel_Rarely,583,Sales,4,Di bawah perguruan tinggi,Marketing,1,Tinggi,Male,87,Sedang,2,Sales Executive,Rendah,Married,4256,18154,1,Y,No,12,Sangat Baik,Rendah,80,0,5,1,Sangat Tinggi,5,2,0,3
12,20,1.0,Travel_Rarely,129,Research & Development,4,Sarjana,Technical Degree,1,Rendah,Male,84,Tinggi,1,Laboratory Technician,Rendah,Single,2973,13008,1,Y,No,19,Sangat Baik,Sedang,80,0,1,2,Tinggi,1,0,0,0
14,42,0.0,Travel_Rarely,810,Research & Development,23,Doktor,Life Sciences,1,Rendah,Female,44,Tinggi,4,Research Director,Sangat Tinggi,Single,15992,15901,2,Y,No,14,Sangat Baik,Sedang,80,0,16,2,Tinggi,1,0,0,0
15,31,0.0,Travel_Rarely,616,Research & Development,12,Sarjana,Medical,1,Sangat Tinggi,Female,41,Tinggi,2,Healthcare Representative,Sangat Tinggi,Married,5855,17369,0,Y,Yes,11,Sangat Baik,Tinggi,80,2,10,2,Rendah,9,7,8,5
16,38,0.0,Non-Travel,573,Research & Development,6,Sarjana,Medical,1,Sedang,Female,79,Rendah,2,Research Scientist,Sangat Tinggi,Divorced,5329,15717,7,Y,Yes,12,Sangat Baik,Sangat Tinggi,80,3,17,3,Tinggi,13,11,1,9
17,39,0.0,Travel_Rarely,408,Research & Development,2,Magister,Technical Degree,1,Sangat Tinggi,Female,80,Sedang,2,Healthcare Representative,Tinggi,Single,4553,20978,1,Y,No,11,Sangat Baik,Rendah,80,0,20,4,Tinggi,20,7,11,10
